CiscoPN,Description,DeviceType,Fixed-Modular,Rackmount,Powers,P2,Fans,F2,Accessories,A2,A3,A4,A5,A6,Blank,B2,B3,Console,DIMS,Weight,ID,Other,images
A901-12C-FT-D,Cisco ASR 901 Router - TDM+Ethernet,Router,Fixed,A901-RCKMNT-19IN=,,,,,N/A,,,,,,,,,RJ45,17.5 x 8.3 x1.7,8.15,1,,
A901-4C-F-D,Cisco ASR 901 Router PAYG 4 GE Port,Router,Fixed,A901-RCKMNT-19IN=,,,,,N/A,,,,,,,,,RJ45,17.5 x 8.3 x 1.7,7.93,2,,
A901-6CZ-F-A,Cisco ASR 901 10G Router - Ethernet,Router,Fixed,A901-RCKMNT-19IN=,,,,,N/A,,,,,,,,,RJ45,17.5 x 9.1 x 1.7,7.93,3,,
A901-6CZ-FS-A,CISCO ASR 901 10G ROUTER - ETHERNET,Router,Fixed,A901-RCKMNT-19IN=,,,,,N/A,,,,,,,,,RJ45,17.5 x 9.1 x 1.7,7.93,4,,
AIR-CT2504-25-K9,2504 Wireless Controller with 25 AP,Router-Aircap,Fixed,AIR-CT2504-RMNT=,PWR-2504-AC=,N/A,,,N/A,,,,,,,,,RJ45,8 x 6.75 x 1.73,3.5,5,,
AIR-CT2504-5-K9,2504 Wireless Controller with 5 AP,Router-Aircap,Fixed,AIR-CT2504-RMNT=,PWR-2504-AC=,N/A,,,N/A,,,,,,,,,RJ45,8 x 6.75 x 1.73,3.5,6,,
AIR-CT2504-HA-K9,2504 WIRELESS CONTROLLER FOR HIGH Y,Router-Aircap,Fixed,AIR-CT2504-RMNT=,PWR-2504-AC=,N/A,,,N/A,,,,,,,,,RJ45,8 x 6.75 x 1.73,3.5,7,,
AIR-CT3504-K9,Cisco 3504 Wireless Controller,Router-Aircap,Fixed,AIR-3504-RMNT=,PWR-115W-AC=,N/A,,,N/A,,,,,,,,,"RJ45 , USB Mini B",9.5 x 8.5 x 1.73,4.4,8,,
AIR-CT3504-K9-WS,Cisco 3504 Wireless Controller,,,,,,,,,,,,,,,,,,,,9,,
AIR-CT5508-25-K9,Cisco 5508 Series Wireless,Router-Aircap,Modular,AIR-CT5500-RK-MNT=,AIR-PWR-5500-AC,AIR-PWR-5500-AC=,AIR-FAN-5500=,,,,,,,,,,,"RJ45 , USB Mini B",17.30 x 21.20 x 1.75,20,10,,
AIR-CT5508-K9,Cisco ONE - 5500 series WLAN Controller w/ 0 AP lics,Router-Aircap,Modular,AIR-CT5500-RK-MNT=,AIR-PWR-5500-AC,AIR-PWR-5500-AC=,AIR-FAN-5500=,,,,,,,,,,,"RJ45 , USB Mini B",17.30 x 21.20 x 1.75,20,11,,
AIR-CT5520-50-K9,CISCO 5520 WLC W/ 50 APS AND RCKKIT,Router-Aircap,Modular,UCSC-RAILB-M4=,AIR-PSU1-770W,AIR-PSU1-770W=,AIR-FAN-C220M4=,,,,,,,,,,,RJ45,18.9 x 30.98 x 1.70,30,12,,
AIR-CT5520-K9,CISCO 5520 WIRELESS CONTROLLER W/,Router-Aircap,Modular,UCSC-RAILB-M4=,AIR-PSU1-770W,AIR-PSU1-770W=,AIR-FAN-C220M4=,,,,,,,,,,,RJ45,18.9 x 30.98 x 1.70,30,13,,
AIR-CT5760-HA-K9,Cisco 5700 Series Wireless Controller for high availability.,Router-Aircap,Modular,AIR-CT5760-RK-MNT,PWR-C1-350WAC,PWR-C1-350WAC/2,,,,,,,,"STACK-T1-50CM= , STACK-T1-1M= , STACK-T1-3M=",,,,"RJ45 , USB Mini B",17.5 x 17.7 x 1.75,19.6,14,,
AIR-LAP1142N-A-K9,802.11a/g/n Fixed Unified AP; Int,Router-Aircap,Fixed,AIR-AP-BRACKET-1 + AIR-AP-T-RAIL-R,,,,,,,,,,,,,,RJ45,8.7 x 8.7 x 1.84 ,2.3,15,,
AS5400HPX,"AS5400HPX Starter Kit (inc Chassis,",Chassis,Fixed,AS5400RM-19=,,,,,,,,,,,,,,RJ45,17.5 x 18.25 x 3.5,35,16,,
AS5400XM,"AS5400XM Starter Kit (inc Chassis,",Chassis,Fixed,AS5400RM-19=,,,,,,,,,,,,,,RJ45,17.5 x 18.25 x 3.5,35,17,,
AS54XM-16E1-480-V,"AS5400XM Voice; 16E1, 492 DSPs, AC",Chassis,Fixed,AS5400RM-19=,,,,,,,,,,,,,,RJ45,17.5 x 18.25 x 3.5,35,18,,
AS5X-DFC-108NP,AS5000 108 VOICE/UNIVERSAL PORT,Card,,,,,,,,,,,,,,,,,,,19,,
AS5X-DFC-60NP,AS5000 60 VOICE/UNIVERSAL PORT,Card,,,,,,,,,,,,,,,,,,,20,,
ASA5500X-SSD120,ASA 5512-X THROUGH 5555-X 120 GB,SSD,,,,,,,,,,,,,,,,,,,21,,
ASA5505-50-BUN-K9,ASA5505 APPLIANCE WITH 50 USER BUN,Firewall,Fixed,ASA5505-RACK-MNT,ASA5505-PWR-AC,,,,,,,,,,,,,RJ45,7.89 x 6.87 x 1.75,4,22,,
ASA5506H-SP-BUN-K9,ASA 5506H-X SEC PLUS BUNDLE,Firewall,Fixed,ASA5506-RACK-MNT,ASA5506-PWR-AC,,,,,,,,,,,,,RJ45,7.871 x 9.23 x 2.72,4,23,,
ASA5506-K9-WS,"ASA 5506-X w/FirePOWER services, 8GE, AC, 3DES/AES",Firewall,Fixed,ASA5506-RACK-MNT,ASA5506-PWR-AC,,,,,,,,,,,,,RJ45,7.871 x 9.23 x 2.72,4,24,,
ASA5510-BUN-K9,"ASA 5510 Appliance with SW,",Firewall,Fixed,ASA5500-HW,,,,,,,,,,,,,,RJ45,17.5 x 14.25 x 1.75,20,25,,
ASA5510-SEC-BUN-K9,ASA 5510 Security Plus Appl with,Firewall,Fixed,ASA5500-HW,,,,,,,,,,,,,,RJ45,17.5 x 14.25 x 1.75,20,26,,
ASA5512-FPWR-K9,ASA 5512-X with FirePOWER Services. 6GE. AC. 3DES/AES. SSD,Firewall,Fixed,ASA-BRACKETS,,,,,,,,,,,ASA-IC-A-BLANK=,ASA-HD-BLANK=,,RJ45,16.7 x 15.6 x 1.67,13.39,27,,
ASA5515-DC-K8,"ASA 5515-X WITH SW, 6GE DATA,",Firewall,Fixed,ASA-BRACKETS,,,,,,,,,,,ASA-IC-A-BLANK=,ASA-HD-BLANK=,,RJ45,16.7 x 15.6 x 1.67,13.39,28,,
ASA5515-FPWR-K9,ASA 5515-X WITH FIREPOWER SERVICES,Firewall,Fixed,ASA-BRACKETS,,,,,,,,,,,ASA-IC-A-BLANK=,ASA-HD-BLANK=,,RJ45,16.7 x 15.6 x 1.67,13.39,29,,
ASA5515-K9,"ASA 5515-X with SW, 6GE Data, 1GE",Firewall,Fixed,ASA-BRACKETS,,,,,,,,,,,ASA-IC-A-BLANK=,ASA-HD-BLANK=,,RJ45,16.7 x 15.6 x 1.67,13.39,30,,
ASA5516-FPWR-K9,ASA 5516-X WITH FIREPOWER SERVICES,Firewall,Fixed,ASA-BRACKETS,,,,,,,,,,,,,,"RJ45 , USB Mini B",17.2 x 11.288 x 1.72,8,31,,
ASA5516-FPWR-K9-WS,"ASA5516-X w/ FirePOWER services, 8GE, AC, 3DES/AES",Firewall,Fixed,ASA-BRACKETS,,,,,,,,,,,,,,"RJ45 , USB Mini B",17.2 x 11.288 x 1.72,8,32,,
ASA5520-BUN-K9,"ASA 5520 Appliance with SW, HA,",Firewall,Fixed,ASA5500-HW,,,,,,,,,,,,,,RJ45,17.5 x 14.25 x 1.75,20,33,,
ASA5520-DC-K8,"ASA 5520 Appliance with DC power,",Firewall,Fixed,ASA5500-HW,,,,,,,,,,,,,,RJ45,17.5 x 14.25 x 1.75,20,34,,
ASA5525-FPWR-K9,ASA 5525-X WITH FIREPOWER SERVICES,Firewall,Fixed,ASA-BRACKETS,,,,,,,,,,,ASA-HD-BLANK=,,,RJ45,17.5 x 14.25 x 1.75,22,35,,
ASA5545-FPWR-K9,ASA 5545-X WITH FIREPOWER,Firewall,Fixed,ASA-RAILS,,,,,,,,,,,ASA-HD-BLANK=,,,RJ45,16.7 x 19.1 x 1.67,18.86,36,,
ASA5545-K9-WS,"ASA5545-X w/ SW, 8GE Data,1GE Mgmt, AC, 3DES/AES",Firewall,Fixed,ASA-RAILS,,,,,,,,,,,ASA-HD-BLANK=,,,RJ45,16.7 x 19.1 x 1.67,18.86,37,,
